,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,hospitalCases,uniquePeopleTestedBySpecimenDateRollingSum
584,4,40916011,0,6
585,4,40798918,0,6
586,4,40599283,0,6
587,4,40429147,0,5
588,4,40252832,0,5
589,4,40083735,0,5
590,4,39939266,0,5
591,4,39801485,0,5
592,4,39675336,0,5
593,4,39469036,0,5
594,4,39295467,0,5
595,4,39101773,0,5
596,4,38926444,0,5
597,4,38778367,0,5
598,4,38642840,0,5
599,4,38519998,0,5
600,4,38300770,0,5
601,4,38130381,0,5
602,4,37958308,0,5
603,4,37792011,0,5
604,4,37648307,0,5
605,4,37522980,0,5
606,4,37404555,0,5
607,4,37185879,0,5
608,4,37015297,0,5
609,4,36836834,0,5
610,4,36666006,0,5
611,4,36516459,0,5
612,4,36375512,0,6
613,4,36257176,0,6
614,4,36048329,0,6
615,4,35859311,0,6
616,4,35669651,0,6
617,4,35489716,0,6
618,4,35331060,0,6
619,4,35190901,0,6
620,4,35061542,0,6
621,4,34827040,0,6
622,4,34625726,0,6
623,4,34420578,0,6
624,4,34235737,0,6
625,4,34078803,0,6
626,4,33958997,0,6
627,4,33849424,0,6
628,4,33633282,0,6
629,4,33450645,0,6
630,4,33273703,0,6
631,4,33101780,0,6
632,4,32950372,0,6
633,4,32805378,0,6
634,4,32694452,0,6
635,4,32494702,0,6
636,4,32319584,0,5
637,4,32135835,0,5
638,4,31962501,0,5
639,4,31815722,0,5
640,4,31682643,0,5
641,4,31560264,0,5
642,4,31352838,0,5
643,4,31183426,0,5
644,4,31007654,0,5
645,4,30848355,0,5
646,4,30688299,0,5
647,4,30556582,0,5
648,4,30447693,0,4
649,4,30204947,0,4
650,4,29996515,0,4
651,4,29776295,0,4
652,4,29544341,0,4
653,4,29322158,0,4
654,4,29105934,0,4
655,4,28920885,0,4
656,4,28591147,0,4
657,4,28287147,0,4
658,4,27977868,0,4
659,4,27663902,0,4
660,4,27355631,0,4
661,4,27061857,0,4
662,4,26806127,0,3
663,4,26315128,0,3
664,4,25928209,0,3
665,4,25554286,0,3
666,4,25210633,0,3
667,4,24882402,0,3
668,4,24695399,0,4
669,4,24497249,0,4
670,4,24080355,0,4
671,4,23652829,0,4
672,4,23235674,0,4
673,4,22809285,0,4
674,4,22424512,0,3
675,4,22117506,0,3
676,4,21869872,0,3
677,4,21294620,0,3
678,4,20869317,0,3
679,4,20445897,0,3
680,4,20084284,0,3
681,4,19765481,0,3
682,4,19519467,0,3
683,4,19341723,0,3
684,4,18948117,0,3
685,4,18563465,0,3
686,4,18138580,0,3
687,4,17686430,0,3
688,4,17337436,0,3
689,4,17127761,0,3
690,4,16949407,0,3
691,4,16508785,0,3
692,4,16053293,0,3
693,4,15581875,0,3
694,4,15179372,0,3
695,4,14929655,0,3
696,4,14810186,0,3
697,4,14646734,0,3
698,4,14279452,0,3
699,4,13869291,0,3
700,4,13415998,0,3
701,4,12967097,0,3
702,4,12604178,0,3
703,4,12322743,0,3
704,4,12073578,0,3
705,4,11524251,0,3
706,4,11080317,0,3
